country_code,country,strategy,period,mode,bps,status,statistically_insufficient,months,annualized_std,annualized_energy,annualized_delta,volatility_std,volatility_energy,volatility_delta,sharpe_std,sharpe_energy,sharpe_delta,calmar_std,calmar_energy,calmar_delta,maxDrawdown_std,maxDrawdown_energy,maxDrawdown_delta,maxUnderwaterMonths_std,maxUnderwaterMonths_energy,maxUnderwaterMonths_delta,bestYear_std,bestYear_energy,bestYear_delta,worstYear_std,worstYear_energy,worstYear_delta
AU,Australie,dynamic,common,nominal,10,ok,false,244,7.700513,8.303827,0.603314,6.805347,6.370889,-0.434458,0.667808,0.808047,0.140239,0.633192,1.058314,0.425121,-12.161412,-7.846281,4.315131,16,17,1,27.840209,23.033104,-4.807104,-4.202316,-2.500545,1.701771
AU,Australie,dynamic,common,nominal,25,ok,false,244,7.562578,8.110838,0.54826,6.810433,6.375877,-0.434557,0.647056,0.777146,0.130091,0.618767,1.022224,0.403457,-12.22202,-7.934504,4.287516,16,17,1,27.724776,22.898903,-4.825873,-4.268416,-2.789557,1.478859
AU,Australie,dynamic,common,nominal,50,ok,false,244,7.332989,7.789807,0.456818,6.819681,6.385383,-0.434298,0.612513,0.725714,0.113201,0.595066,0.963915,0.36885,-12.322992,-8.081423,4.241568,17,21,4,27.532573,22.675475,-4.857097,-4.378537,-3.269615,1.108922
AU,Australie,dynamic,common,real,10,ok,false,244,4.818381,5.405452,0.587071,7.178788,6.679189,-0.499598,0.616101,0.75008,0.133979,0.360828,0.594194,0.233367,-13.353682,-9.09711,4.256572,43,22,-21,23.36733,18.72823,-4.6391,-7.191943,-5.046693,2.14525
AU,Australie,dynamic,common,real,25,ok,false,244,4.683839,5.217181,0.533342,7.183413,6.684156,-0.499258,0.596975,0.721356,0.124382,0.349175,0.56803,0.218855,-13.414007,-9.184685,4.229322,43,40,-3,23.255937,18.598445,-4.657492,-7.285315,-5.328861,1.956454
AU,Australie,dynamic,common,real,50,ok,false,244,4.459899,4.904001,0.444102,7.191854,6.693571,-0.498283,0.565136,0.673553,0.108417,0.330008,0.525587,0.195579,-13.514508,-9.330524,4.183984,44,40,-4,23.070458,18.382369,-4.68809,-7.440782,-5.797547,1.643235
AU,Australie,dynamic,20y,nominal,10,ok,false,241,7.741643,8.326605,0.584962,6.812066,6.382151,-0.429915,0.67808,0.815413,0.137333,0.636574,1.061217,0.424642,-12.161412,-7.846281,4.315131,16,17,1,27.840209,23.033104,-4.807104,-4.202316,-2.500545,1.701771
AU,Australie,dynamic,20y,nominal,25,ok,false,241,7.602818,8.132123,0.529304,6.817116,6.387091,-0.430025,0.657214,0.784333,0.127119,0.622059,1.024906,0.402847,-12.22202,-7.934504,4.287516,16,17,1,27.724776,22.898903,-4.825873,-4.268416,-2.789557,1.478859
AU,Australie,dynamic,20y,nominal,50,ok,false,241,7.371751,7.808614,0.436863,6.826307,6.396523,-0.429784,0.62248,0.732601,0.110122,0.598211,0.966242,0.368031,-12.322992,-8.081423,4.241568,17,21,4,27.532573,22.675475,-4.857097,-4.378537,-3.269615,1.108922
AU,Australie,dynamic,20y,real,10,ok,false,241,4.905252,5.474726,0.569473,7.1658,6.674678,-0.491123,0.627611,0.759109,0.131498,0.367333,0.601809,0.234476,-13.353682,-9.09711,4.256572,43,22,-21,23.36733,18.72823,-4.6391,-7.191943,-5.046693,2.14525
AU,Australie,dynamic,20y,real,25,ok,false,241,4.769781,5.284926,0.515146,7.170493,6.679535,-0.490957,0.608307,0.730142,0.121835,0.355582,0.575406,0.219824,-13.414007,-9.184685,4.229322,43,40,-3,23.255937,18.598445,-4.657492,-7.285315,-5.328861,1.956454
AU,Australie,dynamic,20y,real,50,ok,false,241,4.544295,4.969209,0.424914,7.179051,6.688778,-0.490273,0.576173,0.681932,0.105759,0.336253,0.532576,0.196322,-13.514508,-9.330524,4.183984,44,40,-4,23.070458,18.382369,-4.68809,-7.440782,-5.797547,1.643235
AU,Australie,dynamic,10y,nominal,10,ok,false,121,8.772508,9.761992,0.989484,6.778271,5.921035,-0.857236,0.986702,1.296668,0.309966,0.72134,1.244155,0.522816,-12.161412,-7.846281,4.315131,9,9,0,27.840209,23.033104,-4.807104,-4.202316,0.006282,4.208598
