strategy,period,mode,bps,n_ok,sharpe_delta_median,sharpe_delta_q1,sharpe_delta_q3,sharpe_delta_min,sharpe_delta_max,annualized_delta_median,annualized_delta_min,annualized_delta_max,maxdd_delta_median,maxdd_delta_min,share_sharpe_fav_0p05,share_annualized_fav_0p25,share_sharpe_and_maxdd_pos
dynamic,common,nominal,10,21,0.140239,0.126989,0.156838,0.074798,0.191685,0.907855,0.414064,1.38752,0.194634,-0.483935,1,1,0.619048
dynamic,common,nominal,25,21,0.130091,0.119862,0.148864,0.065802,0.18253,0.851377,0.354815,1.335597,0.139739,-0.612256,1,1,0.571429
dynamic,common,nominal,50,21,0.115961,0.10796,0.135573,0.050873,0.16727,0.75982,0.256392,1.249267,0.048446,-0.824525,1,1,0.571429
dynamic,common,real,10,21,0.13635,0.118429,0.159472,0.069812,0.187588,0.89134,0.39161,1.380152,0.091926,-1.035228,1,1,0.571429
dynamic,common,real,25,21,0.128058,0.110473,0.151356,0.061444,0.178765,0.835481,0.335303,1.328445,0,-1.136278,1,1,0.47619
dynamic,common,real,50,21,0.116712,0.097336,0.137809,0.047551,0.164057,0.753233,0.24177,1.242477,0,-1.713638,0.952381,0.952381,0.47619
dynamic,20y,nominal,10,13,0.11412,0.095596,0.123086,0.079077,0.144133,0.649272,0.545575,0.806415,0.010811,-1.040378,1,1,0.538462
dynamic,20y,nominal,25,13,0.105637,0.088116,0.114807,0.072002,0.135154,0.5962,0.493962,0.750598,0.013189,-1.236034,1,1,0.538462
dynamic,20y,nominal,50,13,0.090984,0.07347,0.100971,0.060235,0.120157,0.508003,0.408183,0.657823,0.01714,-1.556804,1,1,0.538462
dynamic,20y,real,10,13,0.11502,0.094192,0.127327,0.069305,0.139368,0.632475,0.533167,0.793457,0.192678,-0.851082,1,1,0.538462
dynamic,20y,real,25,13,0.108937,0.087968,0.119128,0.064006,0.131495,0.580675,0.482636,0.738477,0.138066,-1.096062,1,1,0.538462
dynamic,20y,real,50,13,0.096641,0.076205,0.105421,0.055189,0.118364,0.494593,0.398657,0.647093,0.047509,-1.713638,1,1,0.538462
dynamic,10y,nominal,10,21,0.199573,0.165606,0.238932,0.141103,0.309966,0.965452,0.67586,1.239921,3.832736,0,1,1,0.952381
dynamic,10y,nominal,25,21,0.191143,0.157715,0.22878,0.131295,0.296252,0.906986,0.614969,1.179132,3.765202,-0.018041,1,1,0.904762
dynamic,10y,nominal,50,21,0.177037,0.144536,0.211876,0.115014,0.273299,0.800893,0.513704,1.108716,3.752315,-0.206314,1,1,0.904762
dynamic,10y,real,10,21,0.192322,0.165004,0.23062,0.127016,0.293692,0.91936,0.65354,1.205215,4.243119,0.29211,1,1,1
dynamic,10y,real,25,21,0.183067,0.157388,0.220993,0.119947,0.280989,0.863465,0.594472,1.145393,4.218344,0.31266,1,1,1
dynamic,10y,real,50,21,0.167403,0.144667,0.204959,0.106641,0.25973,0.770617,0.496239,1.076821,4.177084,0.34686,1,1,1
dynamic,5y,nominal,10,21,0.259861,0.210032,0.304765,0.138721,0.361837,0.917545,0.650079,1.240131,4.194969,0.1156,1,1,1
dynamic,5y,nominal,25,21,0.254482,0.202701,0.293823,0.132033,0.348711,0.874674,0.603119,1.173328,4.175209,0.13632,1,1,1
dynamic,5y,nominal,50,21,0.244906,0.190416,0.27554,0.120821,0.326782,0.771219,0.525049,1.062223,4.142316,0.170804,1,1,1
