country_code,country,strategy,mode,period,crisis_id,crisis_name,crisis_start,crisis_end,duration_months,perf_std,perf_energy,perf_delta,maxdd_std,maxdd_energy,maxdd_delta
AU,Australie,binary,nominal,10y,COVID_19_2020,Choc de la COVID-19,2020-01,2020-03,2,-9.210975,-9.210975,0,-9.210975,-9.210975,0
AU,Australie,binary,nominal,10y,GLOBAL_CORRECTION_Q4_2018,Correction mondiale du quatrième trimestre 2018,2018-09,2018-12,3,-0.250635,-0.518526,-0.267892,-1.483771,-1.748351,-0.26458
AU,Australie,binary,nominal,10y,INFLATION_UKRAINE_RATES_2022,"Choc inflationniste, guerre en Ukraine et remontée des taux",2021-12,2022-09,9,1.804744,7.758227,5.953482,-3.498268,-2.683234,0.815034
AU,Australie,binary,real,10y,COVID_19_2020,Choc de la COVID-19,2020-01,2020-03,2,-9.547231,-9.547231,0,-9.547231,-9.547231,0
AU,Australie,binary,real,10y,GLOBAL_CORRECTION_Q4_2018,Correction mondiale du quatrième trimestre 2018,2018-09,2018-12,3,-0.766753,-1.033259,-0.266505,-1.483771,-1.748351,-0.26458
AU,Australie,binary,real,10y,INFLATION_UKRAINE_RATES_2022,"Choc inflationniste, guerre en Ukraine et remontée des taux",2021-12,2022-09,9,-3.86756,1.754209,5.621769,-6.123537,-4.394249,1.729288
AU,Australie,binary,nominal,20y,CHINA_EM_TURBULENCE_2015,Crise chinoise et turbulences émergentes,2015-05,2016-02,9,-3.814512,-3.76128,0.053232,-4.801415,-4.72743,0.073985
AU,Australie,binary,nominal,20y,COVID_19_2020,Choc de la COVID-19,2020-01,2020-03,2,-9.210975,-9.210975,0,-9.210975,-9.210975,0
AU,Australie,binary,nominal,20y,EURO_SOVEREIGN_DEBT_CRISIS,Crise des dettes souveraines européennes,2010-04,2011-09,17,20.212503,20.208803,-0.0037,-6.071749,-5.680096,0.391653
AU,Australie,binary,nominal,20y,GLOBAL_CORRECTION_Q4_2018,Correction mondiale du quatrième trimestre 2018,2018-09,2018-12,3,-0.250635,-0.518526,-0.267892,-1.483771,-1.748351,-0.26458
AU,Australie,binary,nominal,20y,GLOBAL_FINANCIAL_CRISIS_2008,Crise financière mondiale,2007-10,2009-03,17,28.210333,32.777733,4.5674,-5.196012,-4.807228,0.388784
AU,Australie,binary,nominal,20y,INFLATION_UKRAINE_RATES_2022,"Choc inflationniste, guerre en Ukraine et remontée des taux",2021-12,2022-09,9,1.804744,7.758227,5.953482,-3.498268,-2.683234,0.815034
AU,Australie,binary,real,20y,CHINA_EM_TURBULENCE_2015,Crise chinoise et turbulences émergentes,2015-05,2016-02,9,-5.232951,-5.180504,0.052447,-5.842531,-5.769355,0.073176
AU,Australie,binary,real,20y,COVID_19_2020,Choc de la COVID-19,2020-01,2020-03,2,-9.547231,-9.547231,0,-9.547231,-9.547231,0
AU,Australie,binary,real,20y,EURO_SOVEREIGN_DEBT_CRISIS,Crise des dettes souveraines européennes,2010-04,2011-09,17,14.630094,14.626565,-0.003529,-6.071749,-5.680096,0.391653
AU,Australie,binary,real,20y,GLOBAL_CORRECTION_Q4_2018,Correction mondiale du quatrième trimestre 2018,2018-09,2018-12,3,-0.766753,-1.033259,-0.266505,-1.483771,-1.748351,-0.26458
