country_code,country,strategy,mode,period,status,statistically_insufficient,start,end,months,annualized_std,annualized_energy,annualized_delta,volatility_std,volatility_energy,volatility_delta,sharpe_std,sharpe_energy,sharpe_delta,calmar_std,calmar_energy,calmar_delta,maxDrawdown_std,maxDrawdown_energy,maxDrawdown_delta,currentDrawdown_std,currentDrawdown_energy,currentDrawdown_delta,maxUnderwaterMonths_std,maxUnderwaterMonths_energy,maxUnderwaterMonths_delta,bestYear_std,bestYear_energy,bestYear_delta,worstYear_std,worstYear_energy,worstYear_delta,delta_annualized_net_10bps,delta_annualized_net_25bps,delta_annualized_net_50bps
AU,Australie,dynamic,nominal,common,ok,false,2006-03,2026-06,244,7.792546,8.432642,0.640096,6.802148,6.367863,-0.434286,0.681652,0.82866,0.147008,0.642896,1.082852,0.439956,-12.120996,-7.787435,4.333561,-12.120996,-7.787435,4.333561,16,17,1,27.91721,23.122631,-4.794579,-4.158238,-2.307462,1.850776,0.606353,0.555738,0.471381
AU,Australie,dynamic,real,common,ok,false,2006-03,2026-06,244,4.90815,5.531117,0.622968,7.175887,6.676164,-0.499723,0.62886,0.769243,0.140384,0.368661,0.611937,0.243277,-13.313454,-9.038697,4.274757,-13.313454,-9.038697,4.274757,43,22,-21,23.441637,18.814812,-4.626826,-7.129657,-4.858181,2.271476,0.589225,0.53861,0.454253
AU,Australie,dynamic,nominal,20y,ok,false,2006-06,2026-06,241,7.834269,8.456417,0.622148,6.808894,6.379158,-0.429735,0.692,0.836145,0.144145,0.646339,1.085905,0.439567,-12.120996,-7.787435,4.333561,-12.120996,-7.787435,4.333561,16,17,1,27.91721,23.122631,-4.794579,-4.158238,-2.307462,1.850776,0.588026,0.536842,0.451537
AU,Australie,dynamic,real,20y,ok,false,2006-06,2026-06,241,4.995642,5.601412,0.60577,7.162857,6.671727,-0.49113,0.640488,0.778433,0.137945,0.375233,0.619715,0.244482,-13.313454,-9.038697,4.274757,-13.313454,-9.038697,4.274757,43,22,-21,23.441637,18.814812,-4.626826,-7.129657,-4.858181,2.271476,0.571648,0.520465,0.435159
AU,Australie,dynamic,nominal,10y,ok,false,2016-06,2026-06,121,8.843349,9.878879,1.03553,6.772554,5.91804,-0.854514,0.997995,1.317076,0.319081,0.729589,1.268567,0.538977,-12.120996,-7.787435,4.333561,-12.120996,-7.787435,4.333561,9,8,-1,27.91721,23.122631,-4.794579,-4.158238,0.08932,4.247558,0.993613,0.930738,0.825947
AU,Australie,dynamic,real,10y,ok,false,2016-06,2026-06,121,5.641784,6.646854,1.005071,7.202715,6.237185,-0.96553,0.910791,1.212925,0.302134,0.423766,0.735378,0.311612,-13.313454,-9.038697,4.274757,-13.313454,-9.038697,4.274757,43,20,-23,23.441637,18.814812,-4.626826,-7.129657,-2.089629,5.040029,0.963154,0.900279,0.795487
AU,Australie,dynamic,nominal,5y,ok,false,2021-06,2026-06,61,10.718033,11.80737,1.089337,7.440295,6.279899,-1.160396,1.021317,1.3835,0.362183,0.884253,1.516208,0.631954,-12.120996,-7.787435,4.333561,-12.120996,-7.787435,4.333561,8,8,0,27.91721,23.122631,-4.794579,-4.158238,0.08932,4.247558,1.055997,1.005988,0.922639
AU,Australie,dynamic,real,5y,ok,false,2021-06,2026-06,61,6.172824,7.217442,1.044617,7.91929,6.577779,-1.341511,0.920152,1.266623,0.346471,0.463653,0.798505,0.334852,-13.313454,-9.038697,4.274757,-13.313454,-9.038697,4.274757,30,20,-10,23.441637,18.814812,-4.626826,-7.129657,-2.089629,5.040029,1.011278,0.961268,0.877919
AU,Australie,binary,nominal,common,ok,false,2006-03,2026-06,244,8.474408,8.996042,0.521634,8.118348,7.663891,-0.454457,0.655128,0.76204,0.106912,0.597483,0.791724,0.19424,-14.183505,-11.362605,2.8209,-14.183505,-9.828469,4.355036,20,20,0,30.708447,26.009188,-4.699259,-5.394896,-5.291347,0.103549,0.49161,0.446574,0.371514
AU,Australie,binary,real,common,ok,false,2006-03,2026-06,244,5.571766,6.079442,0.507675,8.43621,7.921989,-0.514221,0.613574,0.717486,0.103912,0.363029,0.48561,0.12258,-15.347976,-12.519194,2.828782,-15.347976,-11.052035,4.295941,41,42,1,26.135215,21.600374,-4.534841,-7.712391,-7.764158,-0.051767,0.477651,0.432615,0.357555
AU,Australie,binary,nominal,20y,ok,false,2006-06,2026-06,241,8.49567,9.00573,0.510061,8.135851,7.686248,-0.449603,0.66043,0.765421,0.104992,0.598982,0.792576,0.193594,-14.183505,-11.362605,2.8209,-14.183505,-9.828469,4.355036,20,20,0,30.708447,26.009188,-4.699259,-5.394896,-5.291347,0.103549,0.479661,0.434062,0.358064
AU,Australie,binary,real,20y,ok,false,2006-06,2026-06,241,5.639632,6.136266,0.496634,8.432615,7.92619,-0.506424,0.620414,0.722711,0.102297,0.367451,0.490149,0.122697,-15.347976,-12.519194,2.828782,-15.347976,-11.052035,4.295941,41,42,1,26.135215,21.600374,-4.534841,-7.712391,-7.764158,-0.051767,0.466235,0.420636,0.344637
AU,Australie,binary,nominal,10y,ok,false,2016-06,2026-06,121,9.770264,10.680815,0.910552,7.776364,6.908067,-0.868297,0.988366,1.244406,0.256041,0.688847,1.086722,0.397875,-14.183505,-9.828469,4.355036,-14.183505,-9.828469,4.355036,7,8,1,30.708447,26.009188,-4.699259,-5.394896,-1.069169,4.325727,0.877914,0.828957,0.747363
AU,Australie,binary,real,10y,ok,false,2016-06,2026-06,121,6.541434,7.425202,0.883768,8.168352,7.202186,-0.966166,0.913258,1.158479,0.245221,0.426208,0.67184,0.245632,-15.347976,-11.052035,4.295941,-15.347976,-11.052035,4.295941,19,11,-8,26.135215,21.600374,-4.534841,-6.678624,-2.411594,4.26703,0.851131,0.802174,0.720579
AU,Australie,binary,nominal,5y,ok,false,2021-06,2026-06,61,11.839203,12.947239,1.108036,8.246801,7.035891,-1.21091,1.057388,1.396853,0.339465,0.834716,1.31732,0.482604,-14.183505,-9.828469,4.355036,-14.183505,-9.828469,4.355036,7,7,0,30.708447,26.009188,-4.699259,-5.394896,-1.069169,4.325727,1.074041,1.023048,0.93806
AU,Australie,binary,real,5y,ok,false,2021-06,2026-06,61,7.247968,8.310516,1.062549,8.640563,7.26529,-1.375272,0.967772,1.297215,0.329443,0.472243,0.751944,0.279702,-15.347976,-11.052035,4.295941,-15.347976,-11.052035,4.295941,19,11,-8,26.135215,21.600374,-4.534841,-6.678624,-2.411594,4.26703,1.028553,0.977561,0.892572
BR,Brésil,dynamic,nominal,common,ok,false,2008-10,2026-06,213,11.96293,12.416575,0.453645,8.10155,7.577014,-0.524536,0.302455,0.383264,0.080809,0.928127,1.175304,0.247177,-12.889328,-10.564569,2.324759,-12.889328,-8.811528,4.077799,23,20,-3,32.905487,27.224783,-5.680704,-3.885154,-4.256199,-0.371045,0.418253,0.365165,0.276684
BR,Brésil,dynamic,real,common,ok,false,2008-10,2026-06,213,5.935889,6.365114,0.429225,8.334124,7.770811,-0.563313,0.278188,0.353589,0.075402,0.303918,0.363829,0.059911,-19.531215,-17.494806,2.036409,-14.718616,-10.726449,3.992167,52,56,4,27.469735,22.021368,-5.448367,-11.256472,-9.599487,1.656986,0.393833,0.340745,0.252264
BR,Brésil,dynamic,nominal,20y,insufficient_history,true,2008-10,2026-06,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Brésil,dynamic,real,20y,insufficient_history,true,2008-10,2026-06,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Brésil,dynamic,nominal,10y,ok,false,2016-06,2026-06,121,13.363009,14.36752,1.004511,8.965456,8.133521,-0.831935,0.469733,0.641282,0.171549,1.03675,1.359972,0.323222,-12.889328,-10.564569,2.324759,-12.889328,-8.811528,4.077799,23,6,-17,32.905487,27.224783,-5.680704,-3.215065,0.848592,4.063657,0.970357,0.919125,0.833739
BR,Brésil,dynamic,real,10y,ok,false,2016-06,2026-06,121,7.967533,8.924235,0.956702,9.240271,8.355155,-0.885116,0.434071,0.594559,0.160488,0.407938,0.738116,0.330177,-19.531215,-12.090567,7.440649,-14.718616,-10.726449,3.992167,47,38,-9,27.469735,22.021368,-5.448367,-11.256472,-6.720664,4.535809,0.922547,0.871316,0.785929
BR,Brésil,dynamic,nominal,5y,ok,false,2021-06,2026-06,61,13.111986,14.113961,1.001976,7.824379,6.905081,-0.919298,0.155368,0.32116,0.165792,1.017275,1.601761,0.584486,-12.889328,-8.811528,4.077799,-12.889328,-8.811528,4.077799,8,4,-4,32.905487,27.224783,-5.680704,-3.215065,0.848592,4.063657,0.961079,0.899735,0.797494
BR,Brésil,dynamic,real,5y,ok,false,2021-06,2026-06,61,6.935797,7.883062,0.947265,8.150249,7.085501,-1.064748,0.141012,0.295892,0.154881,0.471226,0.734918,0.263692,-14.718616,-10.726449,3.992167,-14.718616,-10.726449,3.992167,27,21,-6,27.469735,22.021368,-5.448367,-6.215592,-2.277917,3.937675,0.906369,0.845024,0.742783
BR,Brésil,binary,nominal,common,ok,false,2008-10,2026-06,213,11.429894,11.804725,0.374831,10.662168,10.18389,-0.478278,0.179824,0.225076,0.045252,0.493501,0.496763,0.003262,-23.16081,-23.763273,-0.602463,-11.584531,-7.718348,3.866183,35,33,-2,33.992903,32.058096,-1.934807,-4.880846,-4.987014,-0.106168,0.345295,0.300991,0.227152
BR,Brésil,binary,real,common,ok,false,2008-10,2026-06,213,5.431546,5.7862,0.354653,10.735464,10.226497,-0.508967,0.168983,0.212073,0.04309,0.230477,0.239438,0.00896,-23.56652,-24.165802,-0.599282,-13.44122,-9.656225,3.784995,59,62,3,28.454399,26.599566,-1.854833,-10.189273,-10.289516,-0.100243,0.325117,0.280814,0.206974
BR,Brésil,binary,nominal,20y,insufficient_history,true,2008-10,2026-06,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Brésil,binary,real,20y,insufficient_history,true,2008-10,2026-06,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Brésil,binary,nominal,10y,ok,false,2016-06,2026-06,121,13.715525,14.549627,0.834102,12.395999,11.709747,-0.686252,0.368174,0.460982,0.092808,0.592187,0.612274,0.020087,-23.16081,-23.763273,-0.602463,-11.584531,-7.718348,3.866183,11,6,-5,31.159367,28.228204,-2.931163,-1.551055,2.233407,3.784463,0.804443,0.759954,0.685807
BR,Brésil,binary,real,10y,ok,false,2016-06,2026-06,121,8.303272,9.097675,0.794404,12.431053,11.701423,-0.72963,0.349662,0.439354,0.089692,0.352333,0.376469,0.024136,-23.56652,-24.165802,-0.599282,-13.44122,-9.656225,3.784995,42,38,-4,25.795029,22.318745,-3.476285,-8.280404,-4.265483,4.01492,0.764744,0.720256,0.646108
BR,Brésil,binary,nominal,5y,ok,false,2021-06,2026-06,61,14.254826,14.911884,0.657058,8.953845,8.376811,-0.577034,0.263406,0.359989,0.096582,1.230505,1.932004,0.701499,-11.584531,-7.718348,3.866183,-11.584531,-7.718348,3.866183,11,5,-6,31.159367,28.228204,-2.931163,-1.551055,2.233407,3.784463,0.622084,0.569623,0.482188
BR,Brésil,binary,real,5y,ok,false,2021-06,2026-06,61,8.016235,8.637416,0.621181,8.977839,8.249776,-0.728063,0.248358,0.345573,0.097215,0.596392,0.894492,0.2981,-13.44122,-9.656225,3.784995,-13.44122,-9.656225,3.784995,29,29,0,25.795029,22.318745,-3.476285,-4.608307,-0.936034,3.672274,0.586207,0.533746,0.446311
