strategy,period,mode,n_ok,n_insufficient,n_excluded_short,annualized_median,annualized_q1,annualized_q3,annualized_min,annualized_max,sharpe_median,sharpe_q1,sharpe_q3,sharpe_min,sharpe_max,calmar_median,calmar_q1,calmar_q3,calmar_min,calmar_max,maxDrawdown_median,maxDrawdown_q1,maxDrawdown_q3,maxDrawdown_min,maxDrawdown_max,share_annualized_pos,share_sharpe_pos,share_calmar_pos,share_maxdd_improved,share_sharpe_and_maxdd
dynamic,common,nominal,21,0,1,0.949279,0.751186,1.073238,0.453645,1.422189,0.147008,0.132157,0.162295,0.080809,0.197786,0.089821,0.070012,0.150452,0.027543,0.439956,0.191212,-0.074575,1.269975,-0.397986,4.333561,1,1,1,0.666667,0.666667
dynamic,common,real,21,0,1,0.932049,0.734561,1.053731,0.429225,1.414675,0.141868,0.123762,0.164875,0.075402,0.193467,0.071336,0.046793,0.160663,0.016973,0.283648,0.205902,-0.126366,2.036409,-0.967728,4.672515,1,1,1,0.619048,0.619048
dynamic,20y,nominal,13,9,0,0.684718,0.643834,0.748756,0.580045,0.846615,0.118222,0.100139,0.128595,0.083798,0.150108,0.059413,0.054606,0.150412,0.02083,0.439567,0.086939,-0.128964,1.313708,-0.908596,4.333561,1,1,1,0.615385,0.615385
dynamic,20y,real,13,9,0,0.667737,0.626926,0.729233,0.566914,0.830288,0.119074,0.098348,0.13278,0.072842,0.144613,0.067748,0.039007,0.155972,0.003488,0.284524,0.229201,-0.198877,2.528287,-0.720405,4.672515,1,1,1,0.538462,0.538462
dynamic,10y,nominal,21,1,0,1.004511,0.91009,1.126512,0.716509,1.293574,0.205176,0.171549,0.245702,0.147655,0.319081,0.462304,0.323222,0.688886,0.11782,1.387012,3.900366,2.324759,4.239546,0,6.147546,1,1,1,0.952381,0.952381
dynamic,10y,real,21,1,0,0.956702,0.892524,1.110205,0.692972,1.257442,0.197946,0.170074,0.237039,0.13173,0.302134,0.330177,0.296769,0.366364,0.124352,1.086819,4.274757,2.922683,4.672515,0.278397,7.440649,1,1,1,1,1
dynamic,5y,nominal,21,1,0,0.954232,0.851398,1.07849,0.681435,1.284724,0.263439,0.2149,0.312045,0.143161,0.370572,0.711608,0.575322,1.32338,0.129409,2.053479,4.208153,3.806957,4.460262,0.101774,6.147546,1,1,1,1,1
dynamic,5y,real,21,1,0,0.925728,0.844223,1.032078,0.659909,1.25134,0.254871,0.202377,0.29117,0.139602,0.351076,0.360446,0.317611,0.425259,0.129938,1.451972,4.083889,2.922683,4.274757,0.278397,6.126847,1,1,1,1,1
binary,common,nominal,21,0,1,0.943442,0.71448,1.08003,0.374831,1.431744,0.131528,0.106912,0.143905,0.045252,0.172274,0.063212,0.047994,0.099522,0.003262,0.233671,0.1106,-0.207841,0.667037,-0.602463,2.8209,1,1,1,0.571429,0.571429
binary,common,real,21,0,1,0.928183,0.684131,1.052972,0.354653,1.42418,0.125673,0.103912,0.139356,0.04309,0.169987,0.04606,0.03177,0.072947,0.00896,0.166235,0.110863,-0.342928,1.173694,-0.892938,2.828782,1,1,1,0.571429,0.571429
binary,20y,nominal,13,9,0,0.612108,0.510061,0.680526,0.424706,0.825026,0.09019,0.077992,0.104992,0.062537,0.116958,0.038869,0.028875,0.094407,0.016652,0.216771,0.201105,-0.15708,0.667037,-0.243716,2.8209,1,1,1,0.538462,0.538462
binary,20y,real,13,9,0,0.60931,0.496634,0.662782,0.412688,0.817976,0.08994,0.074504,0.102297,0.058751,0.119166,0.036952,0.016929,0.046623,-0.001129,0.124338,0.196617,-0.139704,0.902997,-0.762941,2.828782,1,1,0.923077,0.538462,0.538462
binary,10y,nominal,21,1,0,0.927799,0.833019,1.122949,0.637679,1.312094,0.178578,0.154888,0.202876,0.092808,0.256041,0.269105,0.099481,0.397875,-0.0267,1.101183,2.379754,-0.067775,4.090167,-0.8972,5.721776,1,1,0.952381,0.714286,0.714286
binary,10y,real,21,1,0,0.908649,0.794404,1.099894,0.616732,1.278044,0.177709,0.151516,0.204203,0.089692,0.248315,0.245797,0.124229,0.344577,0.024136,0.891961,4.029715,1.456296,4.295941,-0.599282,6.363375,1,1,1,0.809524,0.809524
binary,5y,nominal,21,1,0,0.987567,0.802555,1.057048,0.557946,1.285022,0.247693,0.216299,0.281558,0.096582,0.389261,0.701499,0.4546,1.036801,0.03964,3.256148,4.336294,4.011016,4.502671,-0.440631,5.721776,1,1,1,0.952381,0.952381
binary,5y,real,21,1,0,0.947348,0.77991,1.025343,0.540164,1.235981,0.22898,0.205379,0.260822,0.097215,0.369748,0.368447,0.2981,0.565504,0.056325,2.837546,4.220876,3.784995,4.43423,-0.438065,5.702511,1,1,1,0.952381,0.952381
