country,strategy,T,delta,horizon,cost_bps,realCAGR,realVol,realSharpe,realMDD,underwater_m,rotation_pct_yr,realloc_per_yr,months
AU,dynamic,20,0,Max,0,4.842,7.200,0.618,-13.194,43,57.4,11.75,244
AU,dynamic,20,0,Max,25,4.543,7.209,0.575,-13.303,43,57.4,11.75,244
AU,dynamic,20,0,Max,50,4.244,7.219,0.533,-13.411,44,57.4,11.75,244
AU,dynamic,20,0,20A,0,4.932,7.187,0.629,-13.194,43,57.6,11.75,241
AU,dynamic,20,0,20A,25,4.631,7.197,0.587,-13.303,43,57.6,11.75,241
AU,dynamic,20,0,20A,50,4.331,7.206,0.544,-13.411,44,57.6,11.75,241
AU,dynamic,20,0,10A,0,5.503,7.217,0.890,-13.194,43,49.6,11.70,121
AU,dynamic,20,0,10A,25,5.243,7.229,0.852,-13.303,43,49.6,11.70,121
AU,dynamic,20,0,10A,50,4.983,7.242,0.815,-13.411,44,49.6,11.70,121
AU,dynamic,20,0,5A,0,6.143,7.859,0.923,-13.194,30,43.4,11.80,61
AU,dynamic,20,0,5A,25,5.913,7.874,0.892,-13.303,30,43.4,11.80,61
AU,dynamic,20,0,5A,50,5.684,7.889,0.862,-13.411,30,43.4,11.80,61
AU,dynamic,20,3,Max,0,4.885,7.188,0.625,-13.165,43,51.3,7.56,244
AU,dynamic,20,3,Max,25,4.618,7.197,0.587,-13.257,43,51.3,7.56,244
AU,dynamic,20,3,Max,50,4.350,7.206,0.549,-13.349,43,51.3,7.56,244
AU,dynamic,20,3,20A,0,4.973,7.176,0.636,-13.165,43,51.5,7.55,241
AU,dynamic,20,3,20A,25,4.703,7.184,0.598,-13.257,43,51.5,7.55,241
AU,dynamic,20,3,20A,50,4.435,7.192,0.560,-13.349,43,51.5,7.55,241
AU,dynamic,20,3,10A,0,5.645,7.198,0.912,-13.165,43,42.7,6.70,121
AU,dynamic,20,3,10A,25,5.421,7.210,0.879,-13.257,43,42.7,6.70,121
AU,dynamic,20,3,10A,50,5.196,7.223,0.847,-13.349,43,42.7,6.70,121
AU,dynamic,20,3,5A,0,6.260,7.897,0.934,-13.165,30,36.7,6.40,61
AU,dynamic,20,3,5A,25,6.065,7.910,0.908,-13.257,30,36.7,6.40,61
AU,dynamic,20,3,5A,50,5.871,7.923,0.882,-13.349,30,36.7,6.40,61
AU,dynamic,20,4,Max,0,4.870,7.187,0.623,-13.446,43,47.3,6.22,244
AU,dynamic,20,4,Max,25,4.623,7.196,0.588,-13.555,43,47.3,6.22,244
AU,dynamic,20,4,Max,50,4.377,7.205,0.553,-13.664,44,47.3,6.22,244
AU,dynamic,20,4,20A,0,4.957,7.175,0.634,-13.446,43,47.6,6.25,241
AU,dynamic,20,4,20A,25,4.708,7.183,0.599,-13.555,43,47.6,6.25,241
AU,dynamic,20,4,20A,50,4.460,7.192,0.563,-13.664,44,47.6,6.25,241
AU,dynamic,20,4,10A,0,5.561,7.235,0.896,-13.446,43,37.0,5.00,121
AU,dynamic,20,4,10A,25,5.366,7.250,0.867,-13.555,43,37.0,5.00,121
AU,dynamic,20,4,10A,50,5.171,7.266,0.838,-13.664,44,37.0,5.00,121
AU,dynamic,20,4,5A,0,6.157,7.955,0.914,-13.446,30,29.8,4.20,61
AU,dynamic,20,4,5A,25,5.999,7.974,0.892,-13.555,30,29.8,4.20,61
AU,dynamic,20,4,5A,50,5.841,7.993,0.870,-13.664,30,29.8,4.20,61
AU,dynamic,20,5,Max,0,4.908,7.176,0.629,-13.313,43,42.9,5.14,244
AU,dynamic,20,5,Max,25,4.684,7.183,0.597,-13.413,43,42.9,5.14,244
AU,dynamic,20,5,Max,50,4.461,7.192,0.565,-13.513,44,42.9,5.14,244
AU,dynamic,20,5,20A,0,4.996,7.163,0.640,-13.313,43,43.1,5.15,241
AU,dynamic,20,5,20A,25,4.770,7.170,0.608,-13.413,43,43.1,5.15,241
AU,dynamic,20,5,20A,50,4.545,7.179,0.576,-13.513,44,43.1,5.15,241
AU,dynamic,20,5,10A,0,5.642,7.203,0.911,-13.313,43,32.6,4.10,121
AU,dynamic,20,5,10A,25,5.470,7.216,0.885,-13.413,43,32.6,4.10,121
AU,dynamic,20,5,10A,50,5.298,7.230,0.860,-13.513,44,32.6,4.10,121
AU,dynamic,20,5,5A,0,6.173,7.919,0.920,-13.313,30,29.9,4.00,61
AU,dynamic,20,5,5A,25,6.014,7.936,0.898,-13.413,30,29.9,4.00,61
AU,dynamic,20,5,5A,50,5.855,7.954,0.876,-13.513,30,29.9,4.00,61
AU,dynamic,20,6,Max,0,4.860,7.173,0.622,-13.323,43,40.6,4.20,244
AU,dynamic,20,6,Max,25,4.648,7.181,0.592,-13.422,43,40.6,4.20,244
AU,dynamic,20,6,Max,50,4.436,7.191,0.562,-13.520,43,40.6,4.20,244
AU,dynamic,20,6,20A,0,4.941,7.162,0.633,-13.323,43,40.8,4.20,241
AU,dynamic,20,6,20A,25,4.728,7.170,0.603,-13.422,43,40.8,4.20,241
AU,dynamic,20,6,20A,50,4.515,7.179,0.572,-13.520,43,40.8,4.20,241
AU,dynamic,20,6,10A,0,5.630,7.203,0.909,-13.323,43,30.0,3.20,121
AU,dynamic,20,6,10A,25,5.472,7.216,0.886,-13.422,43,30.0,3.20,121
AU,dynamic,20,6,10A,50,5.313,7.229,0.862,-13.520,43,30.0,3.20,121
AU,dynamic,20,6,5A,0,6.095,7.896,0.913,-13.323,30,23.6,2.60,61
AU,dynamic,20,6,5A,25,5.970,7.910,0.896,-13.422,30,23.6,2.60,61
AU,dynamic,20,6,5A,50,5.845,7.924,0.878,-13.520,30,23.6,2.60,61
AU,dynamic,20,8,Max,0,5.031,7.210,0.643,-13.262,30,36.1,3.26,244
AU,dynamic,20,8,Max,25,4.842,7.218,0.616,-13.376,43,36.1,3.26,244
AU,dynamic,20,8,Max,50,4.653,7.227,0.589,-13.490,43,36.1,3.26,244
AU,dynamic,20,8,20A,0,5.115,7.199,0.654,-13.262,30,36.6,3.30,241
AU,dynamic,20,8,20A,25,4.923,7.208,0.626,-13.376,43,36.6,3.30,241
AU,dynamic,20,8,20A,50,4.732,7.218,0.599,-13.490,43,36.6,3.30,241
AU,dynamic,20,8,10A,0,5.643,7.194,0.912,-13.262,30,28.1,2.60,121
AU,dynamic,20,8,10A,25,5.494,7.210,0.889,-13.376,43,28.1,2.60,121
AU,dynamic,20,8,10A,50,5.346,7.227,0.867,-13.490,43,28.1,2.60,121
